region,year,sample_version,sample_strategy,n_trees,features,accuracy,f1_weighted,f1_macro,num_features
PEN,2016,5,scaled,50,top_N,0.9022698612862547,0.8965517444680737,0.8399620340472543,70
PEN,2019,5,scaled,50,top_N,0.8886804252657912,0.8870110078920271,0.8354596035253408,70
PEN,2022,5,scaled,50,top_N,0.8947700063011972,0.8923671726434766,0.8698107723465605,70
NEI,1995,5,scaled,50,top_N,0.875,0.870835962412673,0.8122273414834535,70
NEI,1998,5,scaled,50,top_N,0.8735408560311284,0.867649311451322,0.8024015661572246,70
NEI,2001,5,scaled,50,top_N,0.8641304347826086,0.8618415433408907,0.7976106870242984,70
NEI,2004,5,scaled,50,top_N,0.9085714285714286,0.906096870935864,0.8518740027201472,70
NEI,2007,5,scaled,50,top_N,0.9098360655737704,0.9105439974295182,0.8767160484971543,70
NEI,2010,5,scaled,50,top_N,0.9077757685352622,0.9048958940325073,0.8691708048959254,70
NEI,2013,5,scaled,50,top_N,0.8675373134328358,0.8654871073853839,0.8317959432892958,70
NEI,2016,5,scaled,50,top_N,0.8951048951048951,0.893195211007771,0.8490517892670252,70
NEI,2019,5,scaled,50,top_N,0.9232142857142858,0.9222080586615544,0.908044813824966,70
NEI,2022,5,scaled,50,top_N,0.8783783783783784,0.8752828980568408,0.8320100854751382,70
WGR,1995,3,scaled,50,top_N,0.8653846153846154,0.8559007990791861,0.7807349086802816,70
WGR,1998,3,scaled,50,top_N,0.8441860465116279,0.8406068315752631,0.7939987947379241,70
WGR,2001,3,scaled,50,top_N,0.8853658536585366,0.8745575487871464,0.8098484310081971,70
WGR,2004,3,scaled,50,top_N,0.864367816091954,0.8537402069526826,0.7610301056267172,70
WGR,2007,3,scaled,50,top_N,0.8661800486618005,0.8624155545088796,0.8463819864711482,70
WGR,2010,3,scaled,50,top_N,0.8333333333333334,0.8240190280255257,0.7910570007266283,70
WGR,2013,3,scaled,50,top_N,0.85995085995086,0.8553122890526369,0.8026214644985838,70
WGR,2016,3,scaled,50,top_N,0.8941176470588236,0.890829609297907,0.8463429490863119,70
WGR,2019,3,scaled,50,top_N,0.8913043478260869,0.8885091837866816,0.8653823274342218,70
WGR,2022,3,scaled,50,top_N,0.9106280193236715,0.9063425365903524,0.8779570775175274,70
ICR,1995,4,scaled,50,top_N,0.8988095238095238,0.8944301782869846,0.8961338585425926,70
ICR,1998,4,scaled,50,top_N,0.9251012145748988,0.9235949863425348,0.9260916389009028,70
ICR,2001,4,scaled,50,top_N,0.848605577689243,0.8458676502036144,0.8447439175976875,70
ICR,2004,4,scaled,50,top_N,0.8974358974358975,0.8958864673069042,0.891237401877032,70
ICR,2007,4,scaled,50,top_N,0.9057377049180328,0.9054418529016388,0.897572678754297,70
ICR,2010,4,scaled,50,top_N,0.869215291750503,0.8690327068917072,0.8728099834951083,70
ICR,2013,4,scaled,50,top_N,0.907258064516129,0.9068659447647964,0.9016582955478036,70
